Task,Gas Required,Cost (ETH),Cost (USD),Ops per ETH,Ops per USD,Ops per Block,Blocks to complete Op,,,wei / gas,Gwei / gas,ETH / gas,USD / gas
Add or subtract two integers,3,0.00000009,0.0000225,11111111.11,44444.44444,1566666.667,0.0000006382978723,,Medium Gas Price,30000000000,30,0.00000003,0.0000075
Add or subtract two integers 1 million times,3000000,0.09,22.5,11.11111111,0.04444444444,1.566666667,0.6382978723,,,,,,
Multiply or divide two integers,5,0.00000015,0.0000375,6666666.667,26666.66667,940000,0.000001063829787,,,,,,
Multiply or divide two integers 1 million times,5000000,0.15,37.5,6.666666667,0.02666666667,0.94,1.063829787,,,,Conversions,,
Compare two integers,3,0.00000009,0.0000225,11111111.11,44444.44444,1566666.667,0.0000006382978723,,,,eth / Gwei,0.000000001,
Compare two integers 1 million times,3000000,0.09,22.5,11.11111111,0.04444444444,1.566666667,0.6382978723,,,,wei / Gwei,1000000000,
Create a new contract,32000,0.00096,0.24,1041.666667,4.166666667,146.875,0.006808510638,,,,USD / ETH,250,
Create 1 million new contracts,32000000000,960,240000,0.001041666667,0.000004166666667,0.000146875,6808.510638,,,,,,
Save a 256-bit word to storage,20000,0.0006,0.15,1666.666667,6.666666667,235,0.004255319149,,,,,,
Save 1 MB to storage (31250 256-bit words),625000000,18.75,4687.5,0.05333333333,0.0002133333333,0.00752,132.9787234,,,,Block Gas Limit,4700000,Can be adjusted in each block within ~0.0975% (1/1024) of the previous block
Save 1 GB to storage (1000 MB),625000000000,18750,4687500,0.00005333333333,0.0000002133333333,0.00000752,132978.7234,,,,Transaction data limit,Unlimited,
Send 1 transaction,21000,0.00063,0.1575,1587.301587,6.349206349,223.8095238,0.004468085106,,,,,,
Send 1 million transactions,21000000000,630,157500,0.001587301587,0.000006349206349,0.0002238095238,4468.085106,,,,,,
Include 1 byte (non-zero) in transaction data,68,0.00000204,0.00051,490196.0784,1960.784314,69117.64706,0.00001446808511,,,,,,
Include 1 MB in transaction data,68000,0.00204,0.51,490.1960784,1.960784314,69.11764706,0.01446808511,,,,,,
Include 1 GB in transaction data (1000 MB),68000000,2.04,510,0.4901960784,0.001960784314,0.06911764706,14.46808511,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
sload,200,0.000006,0.0015,166666.6667,666.6666667,23500,0.00004255319149,,,,,,
sload 1 mio,200000,0.006,1.5,166.6666667,0.6666666667,23.5,0.04255319149,,,,,,
,,,,,,,,,,,,,
balance ,400,0.000012,0.003,83333.33333,333.3333333,11750,0.00008510638298,,,,,,
balance 1 mio,400000,0.012,3,83.33333333,0.3333333333,11.75,0.08510638298,,,,,,
,,,,,,,,,,,,,
sstore,20000,0.0006,0.15,1666.666667,6.666666667,235,0.004255319149,,,,,,
sstore 1 mio,20000000,0.6,150,1.666666667,0.006666666667,0.235,4.255319149,,,,,,